Dernier diplôme obtenu,Branche,Semestre,Correcteur médian,Note médian,Note TP,Correcteur final,Note final,Note ECTS
BACCALAURÉAT,GB,2,Cor3,10.5,16.8,Cor1,16.0,B
DIPLOME ETAB ETRANGER SECONDAIRE,IM,1,Cor3,9,8.8,Cor1,9.5,D
BACCALAURÉAT,GB,2,,ABS,,,,ABS
DUT,GB,2,Cor3,5,11.2,Cor1,9.0,D
BACCALAURÉAT,GB,1,Cor3,10,14.4,Cor1,12.5,B
BACCALAURÉAT,IM,5,Cor3,5.5,12.0,Cor1,12.75,D
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GI,2,Cor3,3,,,,F
BACCALAURÉAT,TC,4,Cor3,13,13.6,Cor1,10.25,B
DIPLOME ETAB ETRANGER SUPERIEUR,GI,3,Cor3,6.5,13.6,Cor1,14.0,C
DIPLOME ETAB ETRANGER SECONDAIRE,GP,2,Cor3,3,8.0,Cor1,10.75,E
BACCALAURÉAT,GI,4,Cor3,4.5,16.0,Cor1,6.5,E
DUT,IM,4,Cor3,1.5,5.6,Cor1,5.75,F
BACCALAURÉAT,GB,4,Cor3,14.5,15.2,Cor1,14.5,A
BACCALAURÉAT,GI,2,Cor3,14.5,12.0,Cor1,8.75,B
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GSU,2,Cor3,10,8.8,Cor1,11.0,C
DUT,GI,2,Cor3,4.5,11.2,Cor1,6.5,E
BACCALAURÉAT,IM,4,Cor3,4.5,18.4,Cor1,13.0,C
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GI,2,Cor4,6,10.4,Cor1,8.25,D
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GSU,2,Cor4,3,,,,F
DUT,IM,2,Cor4,1,5.6,,,F
DIPLOME ETAB ETRANGER SECONDAIRE,GB,1,Cor4,13,10.4,Cor1,10.5,B
DIPLOME ETAB ETRANGER SECONDAIRE,GP,1,Cor4,9,4.0,Cor1,1.0,F
DUT,IM,2,Cor4,12,8.8,Cor1,8.75,C
DUT,GI,4,Cor4,7.5,16.8,Cor6,10.0,C
BACCALAURÉAT,IM,2,Cor4,7,12.0,Cor6,5.5,E
DUT,IM,4,Cor4,12.5,16.8,Cor6,15.0,B
BACCALAURÉAT,GSU,4,Cor4,7,19.2,Cor6,10.5,C
DUT,GSU,4,Cor4,3,12.8,Cor6,2.5,F
DUT,IM,6,Cor4,5,8.8,Cor6,0.0,F
LICENCE ET LICENCE LMD,IM,1,Cor4,11.5,9.6,Cor6,14.5,B
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GSU,2,Cor4,8,12.0,Cor6,7.5,D
DUT,IM,2,Cor4,1.5,9.6,Cor6,2.5,F
AUTRE DIPLOME UNIVERSITAIRE DE 1ER CYCLE HORS DUT,GB,4,Cor4,5,12.0,Cor6,11.0,D
DUT,GI,2,Cor4,1,8.0,Cor6,1.0,F
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,IM,4,Cor4,3.5,4.8,Cor6,4.0,F
